station,name,date,tmax,tmin
USW00023234,San Francisco Downtown,2025-03-01,20.3,12.9
USW00023234,San Francisco Downtown,2025-03-02,17.5,12.1
USW00023234,San Francisco Downtown,2025-03-03,16.2,11.3
USW00023234,San Francisco Downtown,2025-03-04,19.0,12.5
USW00023234,San Francisco Downtown,2025-03-05,14.5,9.2
USW00023234,San Francisco Downtown,2025-03-06,17.2,11.1
USW00023234,San Francisco Downtown,2025-03-07,16.2,10.6
USW00023234,San Francisco Downtown,2025-03-08,13.6,9.2
USW00023234,San Francisco Downtown,2025-03-09,16.7,10.7
USW00023234,San Francisco Downtown,2025-03-10,18.2,12.4
USW00023234,San Francisco Downtown,2025-03-11,17.5,10.6
USW00023234,San Francisco Downtown,2025-03-12,15.2,9.2
USW00023234,San Francisco Downtown,2025-03-13,15.4,9.4
USW00023234,San Francisco Downtown,2025-03-14,16.7,12.7
USW00023234,San Francisco Downtown,2025-03-15,18.7,12.6
USW00023234,San Francisco Downtown,2025-03-16,19.2,13.4
USW00023234,San Francisco Downtown,2025-03-17,17.6,13.0
USW00023234,San Francisco Downtown,2025-03-18,16.2,11.5
USW00023234,San Francisco Downtown,2025-03-19,16.5,9.4
USW00023234,San Francisco Downtown,2025-03-20,17.1,9.8
USW00023234,San Francisco Downtown,2025-03-21,18.5,12.5
USW00023234,San Francisco Downtown,2025-03-22,18.9,12.1
USW00023234,San Francisco Downtown,2025-03-23,16.8,11.7
USW00023234,San Francisco Downtown,2025-03-24,15.3,9.8
USW00023234,San Francisco Downtown,2025-03-25,18.3,11.4
USW00023234,San Francisco Downtown,2025-03-26,18.8,12.2
USW00023234,San Francisco Downtown,2025-03-27,15.5,11.5
USW00023234,San Francisco Downtown,2025-03-28,17.0,10.0
USW00023234,San Francisco Downtown,2025-03-29,15.2,10.9
USW00023234,San Francisco Downtown,2025-03-30,17.9,12.4
USW00023234,San Francisco Downtown,2025-03-31,18.2,12.2
USW00023234,San Francisco Downtown,2025-04-01,20.1,12.9
USW00023234,San Francisco Downtown,2025-04-02,19.0,12.1
